"File","Ext","Lines"
"utils\videoProgress.ts",".ts","47"
"AdminApp.tsx",".tsx","310"
"App.tsx",".tsx","270"
"CLAUDE.md",".md","104"
"DOCUMENTACAO_COMPLETA_APP.md",".md","30"
"eslint.config.js",".js","24"
"index.tsx",".tsx","35"
"manifest.json",".json","35"
"package.json",".json","66"
"raw-imports.d.ts",".ts","6"
"README.md",".md","136"
"STATUS_FINAL_APP.md",".md","154"
"tsconfig.json",".json","33"
"types.ts",".ts","374"
"vite-env.d.ts",".ts","1"
"vite.config.ts",".ts","313"
"vitest.config.ts",".ts","25"
